CustomerId,CreditScore,Region,Gender,Age,ACCT_OPN_DATE,M_Minus_one_Bal,Total_FD_Amt,HasCrCard,Last_Login_Date,EstimatedSalary,Acct_Cls_Flag,Current_balance,M_Minus_two_Bal
15586039,471,Western,Female,36,08-03-2023,304683,490000,0,08-06-2023,96366.7,0,415351,292972
15723250,519,South,Male,42,08-12-2022,37261,490000,1,08-06-2023,101485.72,0,396451,123094
15581840,626,South,Male,33,08-12-2022,346591,500000,1,08-08-2023,138504.28,0,22758,55854
15662238,822,South,Male,37,08-05-2023,393118,500000,1,08-08-2023,182624.93,0,340244,278305
15795151,705,South,Female,38,08-05-2023,107895,480000,0,08-05-2023,21177.1,0,317835,131458
15721937,686,South,Male,38,08-08-2023,280872,490000,1,08-05-2023,115927.85,0,494634,94195
15723339,554,South,Female,38,08-04-2023,109882,490000,1,08-06-2023,172629.67,0,433410,252602
15799966,792,Western,Male,59,08-11-2022,171057,490000,1,08-08-2023,161479.19,1,30939,98710
15730397,739,North,Male,40,08-07-2023,6388,490000,1,08-07-2023,193321.3,0,60258,195356
15721740,633,Western,Male,50,08-01-2023,354288,470000,1,08-08-2023,195937.16,0,232859,235272
15669064,671,Western,Male,35,08-07-2023,166302,480000,1,08-05-2023,179012.3,0,28708,145886
15747974,614,South,Male,49,08-07-2023,355775,470000,1,08-06-2023,192440.54,0,429352,192706
15775433,666,Western,Male,71,08-07-2023,337567,470000,1,08-07-2023,112222.64,0,184595,70519
15585287,842,Western,Female,35,08-11-2022,109190,470000,0,08-08-2023,48217.97,1,405018,151814
15580956,683,Western,Female,43,08-04-2023,57304,470000,1,08-07-2023,117349.19,1,446090,11223
15754168,506,South,Female,40,08-05-2023,372341,470000,1,08-05-2023,144345.58,0,385558,259913
15810942,445,Western,Female,61,08-06-2023,133828,470000,0,08-08-2023,29909.84,0,320570,50001
15587038,654,North,Female,32,08-06-2023,173598,460000,0,08-06-2023,51972.92,1,233184,116783
15752139,682,Western,Male,36,08-03-2023,344353,460000,0,08-08-2023,36895.99,0,98600,53830
15582841,600,South,Male,29,08-12-2022,223100,490000,0,08-07-2023,34747.43,0,223511,174533
15669606,690,South,Male,33,08-03-2023,310314,460000,1,08-07-2023,138017.68,0,362520,297116
15731865,637,South,Male,27,08-07-2023,186988,470000,0,08-08-2023,91291.2,0,9468,266529
15761854,746,South,Female,24,08-04-2023,378248,480000,0,08-07-2023,94105.0,0,95132,92902
15656912,649,North,Male,51,08-04-2023,372034,460000,1,08-06-2023,150390.57,0,477630,39545
15595917,580,South,Female,35,08-07-2023,84444,460000,1,08-06-2023,168285.85,0,260696,83969
15806486,705,South,Male,48,08-08-2023,375353,470000,1,08-08-2023,149772.61,0,90324,191389
15681115,787,North,Male,39,08-10-2022,325379,490000,1,08-08-2023,101168.3,0,228426,31653
15685947,556,Western,Male,42,08-08-2023,298115,470000,1,08-07-2023,125435.47,1,159641,102857
15760570,590,South,Male,32,08-03-2023,218408,480000,0,08-06-2023,59249.83,0,270797,297994
15579433,793,North,Male,29,08-12-2022,211641,480000,1,08-06-2023,192120.66,0,258780,260130
15627185,744,Western,Male,29,08-02-2023,213001,480000,1,08-08-2023,141558.04,0,447285,59866
15582492,535,South,Female,29,08-06-2023,326933,460000,1,08-08-2023,185630.76,0,357692,278734
15660541,694,South,Male,34,08-03-2023,306718,480000,1,08-08-2023,101737.8,0,343384,207768
15767864,628,South,Male,33,08-02-2023,186867,500000,1,08-08-2023,184230.23,0,263679,259490
15780561,622,South,Female,39,08-11-2022,162142,450000,0,08-08-2023,38882.34,0,263906,216025
15703199,619,North,Male,38,08-05-2023,15992,500000,0,08-06-2023,98994.92,0,441973,290070
15677377,543,North,Male,37,08-05-2023,204884,460000,0,08-06-2023,78915.68,0,42126,14344
15571843,486,North,Male,24,08-07-2023,31513,450000,0,08-05-2023,98802.76,0,410354,211220
15597033,708,Western,Male,37,08-12-2022,224200,450000,0,08-05-2023,26912.34,0,446966,26972
15655903,701,North,Female,34,08-02-2023,1798,460000,1,08-07-2023,119374.74,0,205017,257714
15780514,707,South,Male,33,08-12-2022,190734,490000,0,08-06-2023,54290.62,0,120413,17820
15752626,553,South,Male,32,08-01-2023,122896,480000,1,08-07-2023,109159.58,0,446130,267896
15677550,755,South,Male,38,08-07-2023,92305,480000,0,08-08-2023,20734.81,0,38794,39355
15568885,620,Western,Female,34,08-12-2022,119178,460000,1,08-08-2023,120672.09,0,184884,131545
15632816,521,Western,Female,49,08-06-2023,73455,480000,1,08-08-2023,182765.14,0,441800,134442
15649297,605,South,Female,62,08-04-2023,25614,440000,1,08-06-2023,125660.99,0,345204,221357
15617518,675,Western,Male,36,08-01-2023,53777,460000,1,08-06-2023,149399.7,0,488155,119839
15702138,510,South,Female,22,08-05-2023,213628,440000,0,08-07-2023,44374.44,0,300134,146927
15795737,771,North,Female,47,08-05-2023,88522,430000,1,08-07-2023,107874.39,0,411000,270573
15679048,558,Western,Male,41,08-06-2023,51785,430000,1,08-07-2023,111184.67,0,480335,78223
15588986,673,Western,Female,29,08-04-2023,81954,430000,0,08-06-2023,9796.69,0,313902,93406
15715512,850,Western,Male,29,08-07-2023,372775,490000,1,08-06-2023,164039.51,0,65115,286981
15739068,638,Western,Male,25,08-04-2023,215358,490000,1,08-08-2023,114722.42,0,388327,176471
15596761,515,Western,Male,60,08-11-2022,344509,450000,0,08-05-2023,18424.24,1,341435,39390
15814519,648,South,Male,37,08-01-2023,125740,480000,1,08-05-2023,194238.92,0,12963,260284
