CustomerId,CreditScore,Region,Gender,Age,ACCT_OPN_DATE,M_Minus_one_Bal,Total_FD_Amt,HasCrCard,Last_Login_Date,EstimatedSalary,Acct_Cls_Flag,Current_balance,M_Minus_two_Bal,Acct_vintage,Login_vintage,CreditScore_buckets,Age_buckets,Churn
15586039,471,Western,Female,36,2023-03-08,304683,490000,0,2023-06-08,96366.7,0,415351,292972,166,74,a.<580,b.30-40,0
15723250,519,South,Male,42,2022-12-08,37261,490000,1,2023-06-08,101485.72,0,396451,123094,256,74,a.<580,c.40-60,0
15581840,626,South,Male,33,2022-12-08,346591,500000,1,2023-08-08,138504.28,0,22758,55854,256,13,b.580-660,b.30-40,1
15662238,822,South,Male,37,2023-05-08,393118,500000,1,2023-08-08,182624.93,0,340244,278305,105,13,e.800+,b.30-40,0
15795151,705,South,Female,38,2023-05-08,107895,480000,0,2023-05-08,21177.1,0,317835,131458,105,105,c.660-720,b.30-40,0
15721937,686,South,Male,38,2023-08-08,280872,490000,1,2023-05-08,115927.85,0,494634,94195,13,105,c.660-720,b.30-40,0
15723339,554,South,Female,38,2023-04-08,109882,490000,1,2023-06-08,172629.67,0,433410,252602,135,74,a.<580,b.30-40,0
15799966,792,Western,Male,59,2022-11-08,171057,490000,1,2023-08-08,161479.19,1,30939,98710,286,13,d.720-800,c.40-60,1
15730397,739,North,Male,40,2023-07-08,6388,490000,1,2023-07-08,193321.3,0,60258,195356,44,44,d.720-800,b.30-40,0
15721740,633,Western,Male,50,2023-01-08,354288,470000,1,2023-08-08,195937.16,0,232859,235272,225,13,b.580-660,c.40-60,1
15669064,671,Western,Male,35,2023-07-08,166302,480000,1,2023-05-08,179012.3,0,28708,145886,44,105,c.660-720,b.30-40,1
15747974,614,South,Male,49,2023-07-08,355775,470000,1,2023-06-08,192440.54,0,429352,192706,44,74,b.580-660,c.40-60,0
15775433,666,Western,Male,71,2023-07-08,337567,470000,1,2023-07-08,112222.64,0,184595,70519,44,44,c.660-720,d.60+,0
15585287,842,Western,Female,35,2022-11-08,109190,470000,0,2023-08-08,48217.97,1,405018,151814,286,13,e.800+,b.30-40,0
15580956,683,Western,Female,43,2023-04-08,57304,470000,1,2023-07-08,117349.19,1,446090,11223,135,44,c.660-720,c.40-60,0
15754168,506,South,Female,40,2023-05-08,372341,470000,1,2023-05-08,144345.58,0,385558,259913,105,105,a.<580,b.30-40,0
15810942,445,Western,Female,61,2023-06-08,133828,470000,0,2023-08-08,29909.84,0,320570,50001,74,13,a.<580,d.60+,0
15587038,654,North,Female,32,2023-06-08,173598,460000,0,2023-06-08,51972.92,1,233184,116783,74,74,b.580-660,b.30-40,0
15752139,682,Western,Male,36,2023-03-08,344353,460000,0,2023-08-08,36895.99,0,98600,53830,166,13,c.660-720,b.30-40,0
15582841,600,South,Male,29,2022-12-08,223100,490000,0,2023-07-08,34747.43,0,223511,174533,256,44,b.580-660,a.18-30,0
15669606,690,South,Male,33,2023-03-08,310314,460000,1,2023-07-08,138017.68,0,362520,297116,166,44,c.660-720,b.30-40,0
15731865,637,South,Male,27,2023-07-08,186988,470000,0,2023-08-08,91291.2,0,9468,266529,44,13,b.580-660,a.18-30,1
15761854,746,South,Female,24,2023-04-08,378248,480000,0,2023-07-08,94105.0,0,95132,92902,135,44,d.720-800,a.18-30,0
15656912,649,North,Male,51,2023-04-08,372034,460000,1,2023-06-08,150390.57,0,477630,39545,135,74,b.580-660,c.40-60,0
15595917,580,South,Female,35,2023-07-08,84444,460000,1,2023-06-08,168285.85,0,260696,83969,44,74,a.<580,b.30-40,0
15806486,705,South,Male,48,2023-08-08,375353,470000,1,2023-08-08,149772.61,0,90324,191389,13,13,c.660-720,c.40-60,1
15681115,787,North,Male,39,2022-10-08,325379,490000,1,2023-08-08,101168.3,0,228426,31653,317,13,d.720-800,b.30-40,0
15685947,556,Western,Male,42,2023-08-08,298115,470000,1,2023-07-08,125435.47,1,159641,102857,13,44,a.<580,c.40-60,0
15760570,590,South,Male,32,2023-03-08,218408,480000,0,2023-06-08,59249.83,0,270797,297994,166,74,b.580-660,b.30-40,0
15579433,793,North,Male,29,2022-12-08,211641,480000,1,2023-06-08,192120.66,0,258780,260130,256,74,d.720-800,a.18-30,0
15627185,744,Western,Male,29,2023-02-08,213001,480000,1,2023-08-08,141558.04,0,447285,59866,194,13,d.720-800,a.18-30,0
15582492,535,South,Female,29,2023-06-08,326933,460000,1,2023-08-08,185630.76,0,357692,278734,74,13,a.<580,a.18-30,0
15660541,694,South,Male,34,2023-03-08,306718,480000,1,2023-08-08,101737.8,0,343384,207768,166,13,c.660-720,b.30-40,0
15767864,628,South,Male,33,2023-02-08,186867,500000,1,2023-08-08,184230.23,0,263679,259490,194,13,b.580-660,b.30-40,0
15780561,622,South,Female,39,2022-11-08,162142,450000,0,2023-08-08,38882.34,0,263906,216025,286,13,b.580-660,b.30-40,0
15703199,619,North,Male,38,2023-05-08,15992,500000,0,2023-06-08,98994.92,0,441973,290070,105,74,b.580-660,b.30-40,0
15677377,543,North,Male,37,2023-05-08,204884,460000,0,2023-06-08,78915.68,0,42126,14344,105,74,a.<580,b.30-40,0
15571843,486,North,Male,24,2023-07-08,31513,450000,0,2023-05-08,98802.76,0,410354,211220,44,105,a.<580,a.18-30,0
15597033,708,Western,Male,37,2022-12-08,224200,450000,0,2023-05-08,26912.34,0,446966,26972,256,105,c.660-720,b.30-40,0
15655903,701,North,Female,34,2023-02-08,1798,460000,1,2023-07-08,119374.74,0,205017,257714,194,44,c.660-720,b.30-40,0
15780514,707,South,Male,33,2022-12-08,190734,490000,0,2023-06-08,54290.62,0,120413,17820,256,74,c.660-720,b.30-40,0
15752626,553,South,Male,32,2023-01-08,122896,480000,1,2023-07-08,109159.58,0,446130,267896,225,44,a.<580,b.30-40,0
15677550,755,South,Male,38,2023-07-08,92305,480000,0,2023-08-08,20734.81,0,38794,39355,44,13,d.720-800,b.30-40,1
15568885,620,Western,Female,34,2022-12-08,119178,460000,1,2023-08-08,120672.09,0,184884,131545,256,13,b.580-660,b.30-40,0
15632816,521,Western,Female,49,2023-06-08,73455,480000,1,2023-08-08,182765.14,0,441800,134442,74,13,a.<580,c.40-60,0
15649297,605,South,Female,62,2023-04-08,25614,440000,1,2023-06-08,125660.99,0,345204,221357,135,74,b.580-660,d.60+,0
15617518,675,Western,Male,36,2023-01-08,53777,460000,1,2023-06-08,149399.7,0,488155,119839,225,74,c.660-720,b.30-40,0
15702138,510,South,Female,22,2023-05-08,213628,440000,0,2023-07-08,44374.44,0,300134,146927,105,44,a.<580,a.18-30,0
15795737,771,North,Female,47,2023-05-08,88522,430000,1,2023-07-08,107874.39,0,411000,270573,105,44,d.720-800,c.40-60,0
15679048,558,Western,Male,41,2023-06-08,51785,430000,1,2023-07-08,111184.67,0,480335,78223,74,44,a.<580,c.40-60,0
15588986,673,Western,Female,29,2023-04-08,81954,430000,0,2023-06-08,9796.69,0,313902,93406,135,74,c.660-720,a.18-30,0
15715512,850,Western,Male,29,2023-07-08,372775,490000,1,2023-06-08,164039.51,0,65115,286981,44,74,e.800+,a.18-30,1
15739068,638,Western,Male,25,2023-04-08,215358,490000,1,2023-08-08,114722.42,0,388327,176471,135,13,b.580-660,a.18-30,0
15596761,515,Western,Male,60,2022-11-08,344509,450000,0,2023-05-08,18424.24,1,341435,39390,286,105,a.<580,c.40-60,0
15814519,648,South,Male,37,2023-01-08,125740,480000,1,2023-05-08,194238.92,0,12963,260284,225,105,b.580-660,b.30-40,1
15770405,613,South,Female,27,2023-03-08,373239,460000,1,2023-08-08,199104.52,0,336319,166767,166,13,b.580-660,a.18-30,0
15770554,769,South,Male,31,2023-04-08,351251,470000,0,2023-06-08,7118.02,0,49102,194761,135,74,d.720-800,b.30-40,1
15684440,548,Western,Male,32,2023-06-08,208790,450000,0,2023-06-08,55867.38,0,418815,60035,74,74,a.<580,b.30-40,0
15803136,416,Western,Female,41,2022-10-08,238576,480000,0,2023-06-08,98301.61,0,154382,80935,317,74,a.<580,c.40-60,0
15658306,693,South,Male,68,2023-04-08,390780,440000,0,2023-07-08,61569.07,0,199240,183126,135,44,c.660-720,d.60+,0
15714241,749,North,Male,42,2022-11-08,90564,500000,1,2023-07-08,101108.85,1,27396,212732,286,44,d.720-800,c.40-60,1
15638329,522,Western,Male,25,2023-07-08,300078,470000,1,2023-06-08,168683.57,0,370166,164987,44,74,a.<580,a.18-30,0
15750811,766,Western,Male,44,2023-05-08,96546,450000,1,2023-08-08,197643.24,0,429938,185299,105,13,d.720-800,c.40-60,0
15679760,721,South,Male,46,2023-07-08,397216,450000,1,2023-05-08,102950.79,0,297767,189226,44,105,d.720-800,c.40-60,0
15738588,660,Western,Female,37,2023-06-08,2919,500000,0,2023-07-08,71433.88,0,161648,109343,74,44,b.580-660,b.30-40,0
15714658,696,South,Male,33,2023-04-08,340520,440000,0,2023-08-08,73371.65,0,168976,171886,135,13,c.660-720,b.30-40,1
15709324,417,South,Male,34,2023-01-08,336458,440000,0,2023-06-08,55003.79,0,229267,46678,225,74,a.<580,b.30-40,0
15747542,605,South,Male,52,2023-01-08,27264,420000,1,2023-06-08,173952.5,0,149614,101608,225,74,b.580-660,c.40-60,0
15772503,737,South,Female,33,2023-04-08,111024,420000,1,2023-07-08,115115.32,0,222115,208271,135,44,d.720-800,b.30-40,0
15632069,776,South,Male,39,2022-12-08,151874,430000,1,2023-08-08,144496.07,0,74254,3424,256,13,d.720-800,b.30-40,0
15586757,801,South,Female,32,2023-04-08,110066,480000,0,2023-07-08,37898.5,0,403428,262050,135,44,e.800+,b.30-40,0
15679299,726,North,Female,27,2023-01-08,75212,470000,0,2023-07-08,78970.58,0,453380,204941,225,44,d.720-800,a.18-30,0
15794257,651,South,Male,34,2023-04-08,83519,480000,1,2023-07-08,123954.15,0,95725,28393,135,44,b.580-660,b.30-40,0
15651664,615,South,Female,61,2023-07-08,49958,470000,0,2023-05-08,62845.64,1,357631,279739,44,105,b.580-660,d.60+,0
